Amazon,,,,Starbucks,,,,Coca-Cola,,,,S&P 500,,,
date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return
5/19/2000,52.63,-2.75,-4.97,5/19/2000,3.3292,-0.0618,-1.82,5/19/2000,15.701,0.1945,1.25,5/19/2000,100.9768,-1.6099,-1.57
5/22/2000,51.88,-0.75,-1.43,5/22/2000,3.3015,-0.0277,-0.83,5/22/2000,15.8986,0.1976,1.26,5/22/2000,100.2165,-0.7603,-0.75
5/23/2000,46.69,-5.19,-10.00,5/23/2000,3.1281,-0.1734,-5.25,5/23/2000,15.6822,-0.2164,-1.36,5/23/2000,98.7408,-1.4757,-1.47
5/24/2000,48.56,1.87,4.01,5/24/2000,3.4253,0.2972,9.50,5/24/2000,16.5259,0.8437,5.38,5/24/2000,100.3507,1.6099,1.63
5/25/2000,45.5,-3.06,-6.30,5/25/2000,3.3015,-0.1238,-3.61,5/25/2000,16.5259,0,0.00,5/25/2000,98.6289,-1.7218,-1.72
5/26/2000,46.5,1,2.20,5/26/2000,3.2187,-0.0828,-2.51,5/26/2000,17.1124,0.5865,3.55,5/26/2000,98.7408,0.1119,0.11
5/30/2000,51.75,5.25,11.29,5/30/2000,3.6529,0.4342,13.49,5/30/2000,16.8991,-0.2133,-1.25,5/30/2000,101.9606,3.2198,3.26
5/31/2000,49.94,-1.81,-3.50,5/31/2000,3.7015,0.0486,1.33,5/31/2000,16.7423,-0.1568,-0.93,5/31/2000,102.1842,0.2236,0.22
6/1/2000,50.19,0.25,0.50,6/1/2000,3.812,0.1105,2.99,6/1/2000,16.7015,-0.0408,-0.24,6/1/2000,103.973,1.7888,1.75
6/2/2000,57.88,7.69,15.32,6/2/2000,4.0672,0.2552,6.69,6/2/2000,16.4851,-0.2164,-1.30,6/2/2000,105.7841,1.8111,1.74
6/5/2000,54.5,-3.38,-5.84,6/5/2000,3.9369,-0.1303,-3.20,6/5/2000,16.3095,-0.1756,-1.07,6/5/2000,105.2698,-0.5143,-0.49
6/6/2000,50.56,-3.94,-7.23,6/6/2000,4.1435,0.2066,5.25,6/6/2000,16.2499,-0.0596,-0.37,6/6/2000,104.8002,-0.4696,-0.45
6/7/2000,51.81,1.25,2.47,6/7/2000,3.8186,-0.3249,-7.84,6/7/2000,16.6231,0.3732,2.30,6/7/2000,105.5269,0.7267,0.69
6/8/2000,51.88,0.07,0.14,6/8/2000,3.9015,0.0829,2.17,6/8/2000,16.5635,-0.0596,-0.36,6/8/2000,105.1133,-0.4136,-0.39
6/9/2000,52.19,0.31,0.60,6/9/2000,3.9501,0.0486,1.25,6/9/2000,16.4067,-0.1568,-0.95,6/9/2000,104.8897,-0.2236,-0.21
6/12/2000,48.44,-3.75,-7.19,6/12/2000,3.7435,-0.2066,-5.23,6/12/2000,16.5071,0.1004,0.61,6/12/2000,103.6599,-1.2298,-1.17
6/13/2000,49,0.56,1.16,6/13/2000,3.9711,0.2276,6.08,6/13/2000,16.7956,0.2885,1.75,6/13/2000,105.6052,1.9453,1.88
6/14/2000,46.44,-2.56,-5.22,6/14/2000,3.8882,-0.0829,-2.09,6/14/2000,16.676,-0.1196,-0.71,6/14/2000,105.7841,0.1789,0.17
6/15/2000,46.31,-0.13,-0.28,6/15/2000,3.833,-0.0552,-1.42,6/15/2000,17.5822,0.9062,5.43,6/15/2000,106.0077,0.2236,0.21
6/16/2000,46,-0.31,-0.67,6/16/2000,3.854,0.021,0.55,6/16/2000,17.4627,-0.1195,-0.68,6/16/2000,105.1387,-0.869,-0.82
6/19/2000,45.31,-0.69,-1.50,6/19/2000,3.8816,0.0276,0.72,6/19/2000,17.1291,-0.3336,-1.91,6/19/2000,106.4834,1.3447,1.28
6/20/2000,46.13,0.82,1.81,6/20/2000,3.9225,0.0409,1.05,6/20/2000,16.6572,-0.4719,-2.75,6/20/2000,106.1025,-0.3809,-0.36
6/21/2000,46.06,-0.07,-0.15,6/21/2000,3.9987,0.0762,1.94,6/21/2000,16.8334,0.1762,1.06,6/21/2000,106.0576,-0.0449,-0.04
6/22/2000,42,-4.06,-8.81,6/22/2000,3.9568,-0.0419,-1.05,6/22/2000,17.6609,0.8275,4.92,6/22/2000,104.4439,-1.6137,-1.52
6/23/2000,33.88,-8.12,-19.33,6/23/2000,3.9015,-0.0553,-1.40,6/23/2000,18.2115,0.5506,3.12,6/23/2000,103.5474,-0.8965,-0.86
6/26/2000,33.94,0.06,0.18,6/26/2000,4.0054,0.1039,2.66,6/26/2000,18.5639,0.3524,1.94,6/26/2000,104.8809,1.3335,1.29
6/27/2000,36.5,2.56,7.54,6/27/2000,4.1435,0.1381,3.45,6/27/2000,18.2115,-0.3524,-1.90,6/27/2000,104.1077,-0.7732,-0.74
6/28/2000,37.88,1.38,3.78,6/28/2000,4.2197,0.0762,1.84,6/28/2000,18.8943,0.6828,3.75,6/28/2000,104.3991,0.2914,0.28
6/29/2000,37.13,-0.75,-1.98,6/29/2000,4.1855,-0.0342,-0.81,6/29/2000,18.5828,-0.3115,-1.65,6/29/2000,103.4129,-0.9862,-0.94
6/30/2000,36.31,-0.82,-2.21,6/30/2000,4.2197,0.0342,0.82,6/30/2000,18.0731,-0.5097,-2.74,6/30/2000,104.1973,0.7844,0.76
7/3/2000,37,0.69,1.90,7/3/2000,4.254,0.0343,0.81,7/3/2000,18.309,0.2359,1.31,7/3/2000,105.6318,1.4345,1.38
7/5/2000,36.5,-0.5,-1.35,7/5/2000,4.233,-0.021,-0.49,7/5/2000,18.4852,0.1762,0.96,7/5/2000,103.7267,-1.9051,-1.80
7/6/2000,36.06,-0.44,-1.21,7/6/2000,4.2054,-0.0276,-0.65,7/6/2000,18.545,0.0598,0.32,7/6/2000,104.5336,0.8069,0.78
7/7/2000,36.13,0.07,0.19,7/7/2000,4.6197,0.4143,9.85,7/7/2000,18.4852,-0.0598,-0.32,7/7/2000,106.2145,1.6809,1.61
7/10/2000,35.06,-1.07,-2.96,7/10/2000,4.3921,-0.2276,-4.93,7/10/2000,18.1108,-0.3744,-2.03,7/10/2000,106.0352,-0.1793,-0.17
7/11/2000,33.13,-1.93,-5.50,7/11/2000,4.4131,0.021,0.48,7/11/2000,17.6798,-0.431,-2.38,7/11/2000,106.2593,0.2241,0.21
7/12/2000,35.06,1.93,5.83,7/12/2000,4.454,0.0409,0.93,7/12/2000,17.6609,-0.0189,-0.11,7/12/2000,106.9542,0.6949,0.65
7/13/2000,35,-0.06,-0.17,7/13/2000,4.4197,-0.0343,-0.77,7/13/2000,18.2304,0.5695,3.22,7/13/2000,107.4248,0.4706,0.44
7/14/2000,42.63,7.63,21.80,7/14/2000,4.4197,0,0.00,7/14/2000,18.1328,-0.0976,-0.54,7/14/2000,108.4782,1.0534,0.98
7/17/2000,41.13,-1.5,-3.52,7/17/2000,4.3987,-0.021,-0.48,7/17/2000,18.0416,-0.0912,-0.50,7/17/2000,108.2989,-0.1793,-0.17
7/18/2000,41.75,0.62,1.51,7/18/2000,4.3921,-0.0066,-0.15,7/18/2000,18.309,0.2674,1.48,7/18/2000,107.4136,-0.8853,-0.82
7/19/2000,40.88,-0.87,-2.08,7/19/2000,4.3921,0,0.00,7/19/2000,19.0359,0.7269,3.97,7/19/2000,106.5507,-0.8629,-0.80
7/20/2000,40.31,-0.57,-1.39,7/20/2000,4.4197,0.0276,0.63,7/20/2000,19.0359,0,0.00,7/20/2000,108.03,1.4793,1.39
7/21/2000,41.13,0.82,2.03,7/21/2000,4.4131,-0.0066,-0.15,7/21/2000,19.1491,0.1132,0.59,7/21/2000,105.9232,-2.1068,-1.95
7/24/2000,38.75,-2.38,-5.79,7/24/2000,4.3888,-0.0243,-0.55,7/24/2000,18.6426,-0.5065,-2.65,7/24/2000,105.318,-0.6052,-0.57
7/25/2000,37.63,-1.12,-2.89,7/25/2000,4.2606,-0.1282,-2.92,7/25/2000,18.6426,0,0.00,7/25/2000,105.6542,0.3362,0.32
7/26/2000,36.06,-1.57,-4.17,7/26/2000,4.1645,-0.0961,-2.26,7/26/2000,18.5041,-0.1385,-0.74,7/26/2000,104.6232,-1.031,-0.98
7/27/2000,31.38,-4.68,-12.98,7/27/2000,3.9921,-0.1724,-4.14,7/27/2000,19.017,0.5129,2.77,7/27/2000,104.2646,-0.3586,-0.34
7/28/2000,30,-1.38,-4.40,7/28/2000,4.0882,0.0961,2.41,7/28/2000,19.7249,0.7079,3.72,7/28/2000,101.9112,-2.3534,-2.26
7/31/2000,30.13,0.13,0.43,7/31/2000,4.1435,0.0553,1.35,7/31/2000,19.2907,-0.4342,-2.20,7/31/2000,102.5612,0.65,0.64
8/1/2000,30.25,0.12,0.40,8/1/2000,4.1921,0.0486,1.17,8/1/2000,19.8225,0.5318,2.76,8/1/2000,103.1888,0.6276,0.61
8/2/2000,30.81,0.56,1.85,8/2/2000,4.3368,0.1447,3.45,8/2/2000,19.8036,-0.0189,-0.10,8/2/2000,103.7043,0.5155,0.50
